index,TM1,TM2,name,d_sum,eneg_sum,row_pair
1,Ni,Zn,NiZn-N-C,18,3.56,3d-3d
2,Ti,V,TiV-N-C,5,3.17,3d-3d
3,Cr,Pt,CrPt-N-C,14,3.94,3d-5d
4,Mn,Zn,MnZn-N-C,15,3.2,3d-3d
5,Nb,Ag,NbAg-N-C,14,3.53,4d-4d
6,Ru,Os,RuOs-N-C,13,4.4,4d-5d
7,Ag,Cd,AgCd-N-C,20,3.62,4d-4d
8,Ti,W,TiW-N-C,6,3.9,3d-5d
9,Ti,Os,TiOs-N-C,8,3.74,3d-5d
10,Zn,Y,ZnY-N-C,11,2.87,3d-4d
11,Mn,Cd,MnCd-N-C,15,3.24,3d-4d
12,Mn,Zr,MnZr-N-C,7,2.88,3d-4d
13,Mn,Hf,MnHf-N-C,7,2.85,3d-5d
14,Sc,Ti,ScTi-N-C,3,2.9,3d-3d
15,Mn,Fe,MnFe-N-C,11,3.38,3d-3d
16,Ir,Au,IrAu-N-C,17,4.74,5d-5d
17,Pt,Au,PtAu-N-C,19,4.82,5d-5d
18,Sc,V,ScV-N-C,4,2.99,3d-3d
19,Ru,W,RuW-N-C,11,4.56,4d-5d
20,Mo,W,MoW-N-C,9,4.52,4d-5d
21,Co,Pd,CoPd-N-C,17,4.08,3d-4d
22,Ni,Cd,NiCd-N-C,18,3.6,3d-4d
23,Ni,W,NiW-N-C,12,4.27,3d-5d
24,V,W,VW-N-C,7,3.99,3d-5d
25,Sc,W,ScW-N-C,5,3.72,3d-5d
