system_id,status,n_steps,fmax_final,c_std
NiZn_NC,skip,0,999.0,999.0
TiV_NC,skip,0,999.0,999.0
CrPt_NC,skip,0,999.0,999.0
MnZn_NC,skip,0,999.0,999.0
NbAg_NC,skip,0,999.0,999.0
RuOs_NC,skip,0,999.0,999.0
AgCd_NC,skip,0,999.0,999.0
TiW_NC,skip,0,999.0,999.0
TiOs_NC,skip,0,999.0,999.0
ZnY_NC,skip,0,999.0,999.0
MnCd_NC,skip,0,999.0,999.0
MnZr_NC,skip,0,999.0,999.0
MnHf_NC,skip,0,999.0,999.0
ScTi_NC,skip,0,999.0,999.0
MnFe_NC,skip,0,999.0,999.0
IrAu_NC,skip,0,999.0,999.0
PtAu_NC,skip,0,999.0,999.0
ScV_NC,skip,0,999.0,999.0
RuW_NC,skip,0,999.0,999.0
MoW_NC,skip,0,999.0,999.0
CoPd_NC,skip,0,999.0,999.0
NiCd_NC,skip,0,999.0,999.0
NiW_NC,skip,0,999.0,999.0
VW_NC,skip,0,999.0,999.0
ScW_NC,skip,0,999.0,999.0
